Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
